Dates;PX_LAST
23/07/2021;0.071193
24/07/2021;0.055095
25/07/2021;0.072056
26/07/2021;0.093409
27/07/2021;0.092199
28/07/2021;0.089511
29/07/2021;0.08708
30/07/2021;0.089591
31/07/2021;0.071409
01/08/2021;0.065167
02/08/2021;0.057338
03/08/2021;0.067753
04/08/2021;0.05907
05/08/2021;0.066166
06/08/2021;0.062532
07/08/2021;0.076831
08/08/2021;0.057691
09/08/2021;0.040314
10/08/2021;0.050866
11/08/2021;0.04976
12/08/2021;0.043237
13/08/2021;0.058649
14/08/2021;0.060528
15/08/2021;0.0721
16/08/2021;0.071035
17/08/2021;0.051842
18/08/2021;0.045971
19/08/2021;0.053945
20/08/2021;0.037439
21/08/2021;0.025728
22/08/2021;-0.000477
23/08/2021;-0.011513
24/08/2021;-0.014191
25/08/2021;-0.007701
26/08/2021;-0.005098
27/08/2021;-0.001503
28/08/2021;0.021449
29/08/2021;0.040585
30/08/2021;0.047714
31/08/2021;0.04866
01/09/2021;0.034704
02/09/2021;0.019464
03/09/2021;0.005127
04/09/2021;-0.006796
05/09/2021;-0.001379
06/09/2021;-0.004825
07/09/2021;-0.008915
08/09/2021;-0.008015
09/09/2021;-0.014505
10/09/2021;-0.023019
11/09/2021;-0.030069
12/09/2021;-0.040361
13/09/2021;-0.033154
14/09/2021;-0.026979
15/09/2021;-0.041016
16/09/2021;-0.036523
17/09/2021;-0.023151
18/09/2021;-0.00872
19/09/2021;0.005705
20/09/2021;-0.005783
21/09/2021;-0.052748
22/09/2021;-0.064731
23/09/2021;-0.080624
24/09/2021;-0.087514
25/09/2021;-0.092032
26/09/2021;-0.111704
27/09/2021;-0.108334
28/09/2021;-0.129634
29/09/2021;-0.149706
30/09/2021;-0.164271
01/10/2021;-0.164075
02/10/2021;-0.146595
03/10/2021;-0.152943
04/10/2021;-0.141202
05/10/2021;-0.144789
06/10/2021;-0.160096
07/10/2021;-0.182833
08/10/2021;-0.205386
09/10/2021;-0.200623
10/10/2021;-0.193797
11/10/2021;-0.162916
12/10/2021;-0.151966
13/10/2021;-0.175876
14/10/2021;-0.167179
15/10/2021;-0.168596
16/10/2021;-0.171443
17/10/2021;-0.165578
18/10/2021;-0.16152
19/10/2021;-0.190266
20/10/2021;-0.179495
21/10/2021;-0.15654
22/10/2021;-0.154522
23/10/2021;-0.143616
24/10/2021;-0.114615
25/10/2021;-0.098122
26/10/2021;-0.068227
27/10/2021;-0.058168
28/10/2021;-0.034806
29/10/2021;-0.027668
30/10/2021;-0.010444
31/10/2021;-0.013708
01/11/2021;-0.016742
02/11/2021;-0.028178
03/11/2021;-0.020494
04/11/2021;-0.009484
05/11/2021;0.005519
06/11/2021;0.028074
07/11/2021;0.044984
08/11/2021;0.063684
09/11/2021;0.068295
10/11/2021;0.063151
11/11/2021;0.055279
12/11/2021;0.051785
13/11/2021;0.060751
14/11/2021;0.053141
15/11/2021;0.042373
16/11/2021;0.048181
17/11/2021;0.045981
18/11/2021;0.045505
19/11/2021;0.051211
20/11/2021;0.079416
21/11/2021;0.083853
22/11/2021;0.091998
23/11/2021;0.101042
24/11/2021;0.094691
25/11/2021;0.083514
26/11/2021;0.083694
27/11/2021;0.068651
28/11/2021;0.076421
29/11/2021;0.081893
30/11/2021;0.049882
01/12/2021;0.042918
02/12/2021;0.044846
03/12/2021;0.028813
04/12/2021;0.036789
05/12/2021;0.069692
06/12/2021;0.058143
07/12/2021;0.054733
08/12/2021;0.03043
09/12/2021;0.011374
10/12/2021;-0.001085
11/12/2021;0.002847
12/12/2021;0.002681
13/12/2021;-0.00426
14/12/2021;-0.018309
15/12/2021;-0.018095
16/12/2021;-0.023186
17/12/2021;-0.042304
18/12/2021;-0.035638
19/12/2021;-0.022013
20/12/2021;-0.023258
21/12/2021;-0.011076
22/12/2021;-0.001616
23/12/2021;0.012741
